"aab-aalborg","AaB"
"aalesund","Aalesund"
"aarau","Aarau"
"aberdeen","Aberdeen"
"aberystwyth","Aberystwyth"
"abha-club-mahalah","Abha Club"
"abia-warriors","Abia Warriors"
"abm-galaxy","ABM Galaxy FC"
"aboomoslem","Aboomoslem"
"ac-lala-fc","AC LALA FC"
"ac-mamahira","AC Mamahira"
"ac-milan","AC Milan"
"ac-rangers-congo-dr","AC Rangers"
"academia-amadou-diallo","Academia F. Amadou Diallo"
"academia-cantolao","Academia Cantolao"
"academia-puerto-cabello","Academia Puerto Cabello"
"academia-quintana","Academia Quintana"
"academica-coimbra","Académica"
"academica-do-soyo","Académica do Soyo"
"academica-lobito","Académica Lobito"
"acs-fc-academica-clinceni","ACS FC Academica Clinceni"
"acs-poli-timisoara","ACS Poli Timişoara"
"ad-grecia-fc","AD Grecia FC"
"ad-municipal-liberia","AD Municipal Liberia"
"ad-union-magdalena","AD Unión Magdalena"
"adamawa-united","Adamawa United"
"adanaspor-fk","Adanaspor"
"adelaide-united","Adelaide United"
"admira-wacker-modling","Admira Wacker Mödling"
"ado-den-haag","ADO Den Haag"
"adr-jicaral-sercoba","Asoc. Dep. y Rec. Jicaral Sercoba"
"aduana-stars","Aduana Stars"
"adzope","Adzopé"
"ae-kouklion","AE Kouklion"
"ae-larissa","Larisa Ael"
"aek","AEK"
"aek-larnaca","AEK Larnaca"
"ael-limassol","AEL Limassol"
"aez-zakakiou","AEZ Zakakiou"
"afan-lido","Afan Lido"
"afc-bournemouth","AFC Bournemouth"
"afc-eskilstuna","AFC Eskilstuna"
"afc-hermannstadt-sibiu","AFC Herrmannstadt Sibiu"
"africa-sports","Africa Sports National"
"agf","AGF"
"aguila","Águila"
"aguilas","Águilas"
"aguilas-doradas-pereira","Águilas Doradas"
"aigle-royal","Aigle Royal"
"aik","AIK"
"ain-fakroun","Aïn Fakroun"
"air-force-central","Air Force Central FC"
"air-india","Air India"
"airbus-uk-broughton","Airbus UK Broughton FC"
"aizawl","Aizawl"
"ajaccio","Ajaccio"
